bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
3;Pankow;307;Südlicher Prenzlauer Berg;30716;Prenzlauer Berg Süd;3071633;Thälmannpark
3;Pankow;307;Südlicher Prenzlauer Berg;30716;Prenzlauer Berg Süd;3071638;Winsstraße
3;Pankow;307;Südlicher Prenzlauer Berg;30716;Prenzlauer Berg Süd;3071639;Bötzowstraße
4;Charlottenburg-Wilmersdorf;401;CW 1;40101;Charlottenburg Nord;4010101;Jungfernheide
4;Charlottenburg-Wilmersdorf;401;CW 1;40101;Charlottenburg Nord;4010102;Plötzensee
4;Charlottenburg-Wilmersdorf;401;CW 1;40101;Charlottenburg Nord;4010103;Paul-Hertz-Siedlung
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020204;Olympiagelände
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020205;Siedlung Ruhleben
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020206;Angerburger Allee
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020207;Flatowallee
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020208;Kranzallee
4;Charlottenburg-Wilmersdorf;402;CW 2;40202;Heerstraße;4020209;Eichkamp
4;Charlottenburg-Wilmersdorf;402;CW 2;40203;Westend;4020310;Park Ruhwald
4;Charlottenburg-Wilmersdorf;402;CW 2;40203;Westend;4020311;Reichsstraße
4;Charlottenburg-Wilmersdorf;402;CW 2;40203;Westend;4020312;Branitzer Platz
4;Charlottenburg-Wilmersdorf;402;CW 2;40203;Westend;4020313;Königin-Elisabeth-Straße
4;Charlottenburg-Wilmersdorf;402;CW 2;40203;Westend;4020314;Messegelände
4;Charlottenburg-Wilmersdorf;403;CW 3;40304;Schloß Charlottenburg;4030415;Schloßgarten
4;Charlottenburg-Wilmersdorf;403;CW 3;40304;Schloß Charlottenburg;4030416;Klausenerplatz
4;Charlottenburg-Wilmersdorf;403;CW 3;40304;Schloß Charlottenburg;4030417;Schloßstraße
4;Charlottenburg-Wilmersdorf;403;CW 3;40305;Mierendorffplatz;4030518;Tegeler Weg
4;Charlottenburg-Wilmersdorf;403;CW 3;40305;Mierendorffplatz;4030519;Kaiserin-Augusta-Allee
